2015-01-26 10:21:06.951 UTC |                 localhost-startStop-1 | DEBUG | matchID:          |        o.s.beans.factory.xml.DefaultDocumentLoader | Using JAXP provider [com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderFactoryImpl]
2015-01-26 10:21:06.953 UTC |                 localhost-startStop-1 | DEBUG | matchID:          |      o.s.beans.factory.xml.PluggableSchemaResolver | Found XML schema [http://www.springframework.org/schema/beans/spring-beans.xsd] in classpath: org/springframework/beans/factory/xml/spring-beans-4.0.xsd
2015-01-26 10:21:06.967 UTC |                 localhost-startStop-1 | DEBUG | matchID:          |      o.s.beans.factory.xml.PluggableSchemaResolver | Found XML schema [http://www.springframework.org/schema/util/spring-util.xsd] in classpath: org/springframework/beans/factory/xml/spring-util-4.0.xsd
2015-01-26 10:21:06.970 UTC |                 localhost-startStop-1 | DEBUG | matchID:          |      o.s.beans.factory.xml.PluggableSchemaResolver | Found XML schema [http://www.springframework.org/schema/tool/spring-tool-4.0.xsd] in classpath: org/springframework/beans/factory/xml/spring-tool-4.0.xsd
2015-01-26 10:21:06.976 UTC |                 localhost-startStop-1 | DEBUG | matchID:          |    o.s.b.f.xml.DefaultBeanDefinitionDocumentReader | Loading bean definitions
2015-01-26 10:21:06.978 UTC |                 localhost-startStop-1 | DEBUG | matchID:          |  o.s.b.factory.xml.DefaultNamespaceHandlerResolver | Loaded NamespaceHandler mappings: {http://www.springframework.org/schema/task=org.springframework.scheduling.config.TaskNamespaceHandler, http://activemq.apache.org/schema/core=org.apache.xbean.spring.context.v2.XBeanNamespaceHandler, http://www.springframework.org/schema/integration/xml=org.springframework.integration.xml.config.IntegrationXmlNamespaceHandler, http://www.springframework.org/schema/p=org.springframework.beans.factory.xml.SimplePropertyNamespaceHandler, http://www.springframework.org/schema/integration/jms=org.springframework.integration.jms.config.JmsNamespaceHandler, http://www.springframework.org/schema/lang=org.springframework.scripting.config.LangNamespaceHandler, http://www.springframework.org/schema/util=org.springframework.beans.factory.xml.UtilNamespaceHandler, http://www.springframework.org/schema/c=org.springframework.beans.factory.xml.SimpleConstructorNamespaceHandler, http://www.springframework.org/schema/jee=org.springframework.ejb.config.JeeNamespaceHandler, http://www.springframework.org/schema/oxm=org.springframework.oxm.config.OxmNamespaceHandler, http://www.springframework.org/schema/tx=org.springframework.transaction.config.TxNamespaceHandler, http://www.springframework.org/schema/aop=org.springframework.aop.config.AopNamespaceHandler, http://www.springframework.org/schema/context=org.springframework.context.config.ContextNamespaceHandler, http://www.springframework.org/schema/jms=org.springframework.jms.config.JmsNamespaceHandler, http://www.springframework.org/schema/cache=org.springframework.cache.config.CacheNamespaceHandler, http://www.springframework.org/schema/mvc=org.springframework.web.servlet.config.MvcNamespaceHandler, http://www.springframework.org/schema/integration=org.springframework.integration.config.xml.IntegrationNamespaceHandler, http://www.springframework.org/schema/integration/http=org.springframework.integration.http.config.HttpNamespaceHandler}
2015-01-26 10:21:06.986 UTC |                 localhost-startStop-1 | DEBUG | matchID:          | o.s.b.factory.support.AbstractBeanDefinitionReader | Loaded 1 bean definitions from location pattern [classpath:/mapping/scoreboards-generic-sport-root-topic-mapping-context.xml]
2015-01-26 10:21:06.987 UTC |                 localhost-startStop-1 | DEBUG | matchID:          |    o.s.b.f.xml.DefaultBeanDefinitionDocumentReader | Imported 1 bean definitions from URL location [classpath:/mapping/scoreboards-generic-sport-root-topic-mapping-context.xml]
2015-01-26 10:21:06.987 UTC |                 localhost-startStop-1 |  INFO | matchID:          |      o.s.beans.factory.xml.XmlBeanDefinitionReader | Loading XML bean definitions from class path resource [mapping/scoreboards-generic-score-type-mapping-context.xml]
2015-01-26 10:21:06.988 UTC |                 localhost-startStop-1 | DEBUG | matchID:          |        o.s.beans.factory.xml.DefaultDocumentLoader | Using JAXP provider [com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderFactoryImpl]
